"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1103.23397578118,-929.090644173741,-7847.04878157877,-67941.5251938414,-8483.76131825689,-12200.3831851716,-85281.319513368,-5351.59692192135,-67471114.5295164
"1",-929.090644173741,-1904.88828793078,-16090.758013934,-139296.050221321,-17394.6810280791,-25015.0481840789,-174849.595701452,-10966.6561775332,-138311267.188556
"Miskin",-7847.04878157877,-16090.758013934,-172607.005686207,-1162467.54076975,-143669.656689809,-212903.943451961,-1488523.25426588,-81976.7988009731,-978667487.606586
"IPM",-67941.5251938414,-139296.050221321,-1162467.54076975,-10209329.5099839,-1276895.07481419,-1829928.76520784,-12794286.1060832,-807015.85556129,-10490910867.6744
"RLS",-8483.76131825689,-17394.6810280791,-143669.656689809,-1276895.07481419,-160300.721014729,-228589.895290501,-1597724.5154197,-101271.360842872,-1358703820.49735
"HLS",-12200.3831851716,-25015.0481840789,-212903.943451961,-1829928.76520784,-228589.895290501,-329030.939425823,-2298463.24587069,-143404.147943758,-1816319837.27284
"APS",-85281.319513368,-174849.595701452,-1488523.25426588,-12794286.1060832,-1597724.5154197,-2298463.24587069,-16078943.1330499,-1004300.03243568,-12810158201.0474
"TPT",-5351.59692192135,-10966.6561775332,-81976.7988009731,-807015.85556129,-101271.360842872,-143404.147943758,-1004300.03243568,-68076.3954882712,-855158943.688889
"PDRB",-67471114.5295164,-138311267.188556,-978667487.606586,-10490910867.6744,-1358703820.49735,-1816319837.27284,-12810158201.0474,-855158943.688889,-19013022760601.6
