"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-808.14907671693,-683.28132407974,-6189.12358459377,-49627.1866995715,-6183.020392339,-8982.92976857366,-62609.8284089783,-3710.32420028131,-46622671.8746136
"1",-683.28132407974,-1401.93968932655,-12699.5371170567,-101821.118209553,-12687.1722916669,-18431.6669971965,-128460.749968415,-7608.22414945374,-95664327.3617016
"Miskin",-6189.12358459377,-12699.5371170567,-144193.762112281,-909760.490128918,-112528.557854605,-167849.82530678,-1168581.63645732,-61233.0226192131,-731955715.878185
"IPM",-49627.1866995715,-101821.118209553,-909760.490128918,-7412389.95896102,-924687.919569078,-1339207.91731744,-9336984.8679005,-556822.285493099,-7185026695.80206
"RLS",-6183.020392339,-12687.1722916669,-112528.557854605,-924687.919569078,-115787.63213574,-166924.205316303,-1163540.18643978,-69654.6003203894,-924030565.961315
"HLS",-8982.92976857366,-18431.6669971965,-167849.82530678,-1339207.91731744,-166924.205316303,-242691.668843742,-1690548.95988499,-99615.8903229602,-1258817224.32379
"APS",-62609.8284089783,-128460.749968415,-1168581.63645732,-9336984.8679005,-1163540.18643978,-1690548.95988499,-11796104.8672739,-696850.254231175,-8846282198.91881
"TPT",-3710.32420028131,-7608.22414945374,-61233.0226192131,-556822.285493099,-69654.6003203894,-99615.8903229602,-696850.254231175,-45017.4718190043,-561789408.293945
"PDRB",-46622671.8746136,-95664327.3617015,-731955715.878185,-7185026695.80206,-924030565.961315,-1258817224.32379,-8846282198.91881,-561789408.293945,-11923795032062.6
