"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-915.812715368951,-773.612552929023,-7443.17831746688,-55968.6611840547,-6974.09396416214,-10159.1397041044,-70828.2941969411,-4163.47489230505,-51513170.540835
"1",-773.612552929023,-1586.9797471859,-15270.2816202462,-114810.713364058,-14307.8230558829,-20841.2806051584,-145296.413500828,-8536.19302716791,-105668356.173152
"Miskin",-7443.17831746688,-15270.2816202462,-190698.410501417,-1083572.60670582,-134167.991169872,-200843.76778868,-1397961.46671284,-71880.5646865828,-846073335.949204
"IPM",-55968.6611840547,-114810.713364058,-1083572.60670582,-8329387.01285586,-1039172.45437952,-1508801.29799234,-10522324.6192729,-623208.357179389,-7917669582.9615
"RLS",-6974.09396416214,-14307.8230558829,-134167.991169872,-1039172.45437952,-130156.622648961,-188104.749257278,-1311557.09593822,-77991.240884945,-1018092337.11827
"HLS",-10159.1397041044,-20841.2806051584,-200843.767788681,-1508801.29799234,-188104.749257278,-274204.80703338,-1910732.14448625,-111726.124885819,-1388393354.12986
"APS",-70828.2941969411,-145296.413500828,-1397961.46671284,-10522324.6192729,-1311557.09593822,-1910732.14448625,-13336306.090681,-781841.776596137,-9755916365.96511
"TPT",-4163.47489230505,-8536.19302716791,-71880.5646865828,-623208.357179389,-77991.240884945,-111726.124885819,-781841.776596137,-50312.400373358,-619084857.010629
"PDRB",-51513170.540835,-105668356.173152,-846073335.949204,-7917669582.9615,-1018092337.11827,-1388393354.12986,-9755916365.96511,-619084857.010629,-13037706834963.1
