"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34"
"1";1;0.445889767794019;0.741661168607953;0.856196173632755;0.596578357857153;0.722408640817844;0.333754806068381;0.881556283660787;0.687974770521483;0.61742553167053;0.54806226331565;0.762789792250198;0.562171680340988;0.599556393246136;0.51122734193789;0.526620058078008;0.814529793293237;0.886971506417166;0.770517175281919;0.124128103669383;0.173015279768968;0.420862961628683;0.174829335374034;0;0.0202288987209303;0.931319789720781;0.42732216772872;0.376869889327385;0.411854359572848;0.289652215444313;0.256463309242921;0.926475172926309;0.827987119213145;0.983275050361899
"2";0;1;0.716594885582335;0.471506303146669;0.921285781197617;0.760132015049073;0.58577123900023;0.443014226680409;0.806453254126604;0.915614877944624;0.972962694747699;0.6685057773509;0.90581109005773;0.860504668726062;0.779079926123214;0.594657222950003;0.623818049650486;0.425450494713409;0.667365091115613;0.459362987444663;0.363955657661357;0.997346628369388;0.771860951051306;0.0390961394197007;0.0919162121667506;0.293529339723427;0.842231086634674;0.902231043048204;0.745305222171158;0.764721591584828;0.452763030284143;0.281608102196167;0.582360503790096;0.0846765625541516
"3";0.540392516986095;0.81493735513422;1;0.960924884498904;0.952459247177661;0.998496926178989;0.43951849320366;0.939037139289918;0.993007802017914;0.957084317586882;0.903056272908588;0.900244717111139;0.833988210648478;0.841288650784184;0.696914716086665;0.604833970901202;0.966580634359149;0.893164932192077;0.997967835562529;0.22234219664975;0.215420661098303;0.783005826469314;0.427010124426548;0;0.0179502402801275;0.867765065021748;0.657892956424012;0.652645308782844;0.58807532854385;0.49765707683253;0.315641360531022;0.879806259233839;0.976330272017742;0.711602717788482
"4";0.782160242637011;0.703856394886988;0.968249554452473;1;0.865167683413777;0.956665451335871;0.413717927290156;0.993646661300129;0.93676221835759;0.876332671145625;0.807335849924035;0.901748597845655;0.765475089228844;0.786976550221235;0.654044481954245;0.602066912689141;0.974785633958631;0.960166527153642;0.980900036529253;0.188637169378701;0.205198092265942;0.671585569074372;0.336727465324762;0;0.0190842807231808;0.970056083468174;0.592069688203641;0.566656993689074;0.54109892332323;0.430780378360404;0.302991179624334;0.980396671403076;0.991050186133217;0.89056229812957
"5";0.175461232981193;0.933058778406807;0.936660014543892;0.782814044371251;1;0.955711399643688;0.469627996136857;0.74797131759227;0.975409912048046;0.997222755239541;0.982601587659606;0.825774530092539;0.890866378371978;0.873979326550882;0.732080523341744;0.584162593640961;0.856816056658709;0.701915651598326;0.91002342520996;0.2743487524675;0.230568380978196;0.907687981301578;0.554530196266237;0;0.0170096222929087;0.615603711100177;0.734712728215556;0.761138202239146;0.641301668224344;0.589740423754547;0.33122783047825;0.619999034083981;0.846441603962416;0.379578859681647
"6";0.486455232799155;0.835773337295969;0.998412037399078;0.943738320842268;0.964941603830914;1;0.452956215694574;0.921744458207874;0.99735410413398;0.969762308834603;0.920758004851867;0.903419968355951;0.852438769499908;0.857554401701345;0.713646079430692;0.615210984643586;0.962384442853556;0.878295557949612;0.993344929428331;0.232544108826918;0.222985245675437;0.804597535150592;0.444680461372489;0;0.0185638049710585;0.841452597171149;0.677908911683236;0.674540783880282;0.605572154837772;0.516619593348381;0.32550129941359;0.850622329222823;0.967909165745979;0.670202417014254
"7";0;0.664810075208727;0.338121497789106;0.20586074282675;0.501116478496057;0.379068706147329;1;0.241412345158852;0.399899332081201;0.534395613934495;0.627356648718717;0.597329727377935;0.804777029630224;0.796854610440683;0.923140405864524;0.921563394573134;0.40652530516306;0.328027193436747;0.314338526093267;0.867113396079695;0.93706605521144;0.693757501315604;0.709476749057374;0.496687932132893;0.670504761312285;0.175475158618966;0.937070183541813;0.88863809243459;0.975614803583488;0.942383333253916;0.983518929546978;0.125013781483417;0.324113744353088;0.0596459830733842
"8";0.816526371827694;0.680291821400046;0.949461218291073;0.993523593947504;0.839938866400164;0.938490340579437;0.43736131245379;1;0.914679693670499;0.857247338084146;0.789183750093529;0.925059513289144;0.771890204119711;0.799575651979865;0.676043282788506;0.639947130789118;0.982084581545422;0.984583999248842;0.965474568089084;0.191809670968911;0.22201202567482;0.649353748321005;0.316010847640841;0;0.0223861479395054;0.987894127070586;0.602608023380993;0.564810532830484;0.559954055126601;0.434593518079137;0.326070927725642;0.98744178738895;0.991076353290787;0.921619918144974
"9";0.408492205334329;0.861844091314947;0.992249243359288;0.914069679738947;0.979599823722963;0.997223468846377;0.451271013038806;0.886453558560639;1;0.981403110416514;0.938770824516187;0.884114958546915;0.859714733248895;0.85911976259221;0.713111362527309;0.60140572671931;0.941174181700968;0.838418300818257;0.981985296220496;0.240003688590508;0.220840054692079;0.831371623129479;0.47170484228367;0;0.0175721437878312;0.792162980865923;0.68732859012264;0.692649699765744;0.608866165664215;0.530409886393355;0.321713472211572;0.802572013462514;0.945095688000163;0.60211458932436
"10";0.198420114986921;0.927241207168227;0.942016119544767;0.797758172010293;0.997184213177151;0.961263177873604;0.498700113901962;0.771568800748375;0.977271885701436;1;0.984451751198722;0.862103220997581;0.913160763254823;0.901613364201117;0.764833267518892;0.626490005434143;0.882035134147096;0.737014964859576;0.918298550237056;0.281752862773687;0.249201862796806;0.9022403606427;0.541157322917688;0;0.0198778511177666;0.644717708332165;0.757259481969058;0.772279618590223;0.669577514094027;0.603113169319138;0.356968728096735;0.64236620593362;0.86635533907253;0.410062817563225
