"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1076.42922370522,-907.711222504773,-7638.20299363187,-66368.832490405,-8337.72973885824,-11936.9552057309,-83260.65956368,-5230.43674243475,-65898990.8464222
"1",-907.711222504773,-1861.49975237479,-15665.9803697516,-136103.777005416,-17099.2231614729,-24480.6053410435,-170747.713397138,-10720.9099573297,-135132996.201014
"Miskin",-7638.20299363187,-15665.9803697516,-164712.759783599,-1133560.31408552,-141220.589000506,-207615.195589773,-1447354.19663815,-80973.1339404185,-964085071.401472
"IPM",-66368.832490405,-136103.777005416,-1133560.31408552,-9972199.70149192,-1254667.35467985,-1790555.6720096,-12493154.617404,-788459.013701344,-10227447918.4653
"RLS",-8337.72973885824,-17099.2231614729,-141220.589000506,-1254667.35467985,-158461.609463972,-225069.690192847,-1569870.56697633,-99529.0952036425,-1328083158.2414
"HLS",-11936.9552057309,-24480.6053410435,-207615.195589773,-1790555.6720096,-225069.690192847,-322480.742280717,-2247965.3955415,-140500.348043607,-1776350989.95816
"APS",-83260.65956368,-170747.713397138,-1447354.19663815,-12493154.617404,-1569870.56697633,-2247965.3955415,-15692657.2422143,-981771.106912012,-12509499777.9619
"TPT",-5230.43674243475,-10720.9099573297,-80973.1339404185,-788459.013701344,-99529.0952036425,-140500.348043607,-981771.106912012,-66316.0784100949,-829658807.561068
"PDRB",-65898990.8464222,-135132996.201014,-964085071.401472,-10227447918.4653,-1328083158.2414,-1776350989.95816,-12509499777.9619,-829658807.561068,-18200545517002.1
