"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1137.38748413751,-957.858538932979,-8018.40702538921,-70116.1619265152,-8803.58553134745,-12594.3640654997,-87944.6220539021,-5584.19093679171,-70081026.981473
"1",-957.858538932979,-1963.8521476835,-16442.0572518027,-143753.287928725,-18050.0610567809,-25822.4977307939,-180308.856100135,-11443.5159011975,-143661575.068607
"Miskin",-8018.40702538921,-16442.0572518027,-173897.332050313,-1190410.92156604,-148126.922016214,-217963.434696581,-1521846.51823875,-85571.5424767088,-1011767639.12793
"IPM",-70116.1619265152,-143753.287928725,-1190410.92156604,-10545465.3801733,-1326142.02414919,-1890887.64780845,-13207266.9927614,-842474.252951853,-10899062474.2865
"RLS",-8803.58553134745,-18050.0610567809,-148126.922016214,-1326142.02414919,-167406.367674226,-237542.057219761,-1658571.79553657,-106302.37426557,-1416589355.28381
"HLS",-12594.3640654997,-25822.4977307939,-217963.434696581,-1890887.64780845,-237542.057219761,-340120.594784956,-2373496.43886403,-149914.526911963,-1887515475.84402
"APS",-87944.6220539021,-180308.856100135,-1521846.51823875,-13207266.9927614,-1658571.79553657,-2373496.43886403,-16585666.5087163,-1048344.85920215,-13306211596.4258
"TPT",-5584.19093679171,-11443.5159011975,-85571.5424767088,-842474.252951853,-106302.37426557,-149914.526911963,-1048344.85920215,-71521.2509836044,-892905207.896166
"PDRB",-70081026.981473,-143661575.068607,-1011767639.12793,-10899062474.2865,-1416589355.28381,-1887515475.84402,-13306211596.4259,-892905207.896166,-19786455263071.6
