"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1139.66443064988,-959.78984388817,-8040.95856098153,-70247.938605087,-8812.99327374536,-12616.8378323215,-88115.2328930021,-5585.74091274436,-70174579.0916678
"1",-959.78984388817,-1967.82047698758,-16488.3684688683,-144024.075251483,-18069.4590010628,-25868.7058942968,-180659.384221098,-11446.6897438243,-143853833.721225
"Miskin",-8040.95856098153,-16488.3684688683,-174651.990602883,-1193412.85574376,-148348.149373824,-218503.02309205,-1525928.70950322,-85545.477472858,-1013517596.07131
"IPM",-70247.938605087,-144024.075251483,-1193412.85574376,-10564063.8221275,-1327418.00715001,-1894017.08447541,-13231135.4370281,-842663.331555208,-10913406867.9915
"RLS",-8812.99327374536,-18069.4590010628,-148348.149373824,-1327418.00715001,-167431.930706043,-237737.47514808,-1660199.48689889,-106241.24619639,-1417735262.27351
"HLS",-12616.8378323215,-25868.7058942968,-218503.02309205,-1894017.08447541,-237737.47514808,-340645.145090266,-2377527.39103032,-149910.047722254,-1889866309.17787
"APS",-88115.2328930021,-180659.384221098,-1525928.70950322,-13231135.4370281,-1660199.48689889,-2377527.39103032,-16616605.6500421,-1048545.07238941,-13323755688.3642
"TPT",-5585.74091274436,-11446.6897438243,-85545.477472858,-842663.331555209,-106241.24619639,-149910.047722254,-1048545.07238941,-71472.6965342735,-893408650.497369
"PDRB",-70174579.0916678,-143853833.721225,-1013517596.07131,-10913406867.9915,-1417735262.27351,-1889866309.17787,-13323755688.3642,-893408650.497369,-19812056502196.8
