"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-666.172552196941,-564.90830930943,-6189.73176406054,-40355.5950573131,-5059.42352072218,-7390.26643712758,-51304.9095555076,-2864.28538325134,-35323916.0085818
"1",-564.90830930943,-1159.62444102427,-12706.0060962858,-82838.78914621,-10387.2285491976,-15171.3025390546,-105319.29366367,-5876.83966856448,-72523099.642731
"Miskin",-6189.73176406054,-12706.0060962858,-183820.598367331,-883731.407841605,-110409.329563972,-164827.971229259,-1139661.79118868,-56190.6740307087,-677180673.355624
"IPM",-40355.5950573131,-82838.78914621,-883731.407841605,-5938603.91401445,-745229.630584807,-1085394.43981995,-7538907.80321062,-424811.746948113,-5344124515.65722
"RLS",-5059.42352072218,-10387.2285491976,-110409.329563972,-745229.630584807,-93943.2804046949,-136207.475885938,-946136.230133783,-53521.0560342583,-686467164.497207
"HLS",-7390.26643712758,-15171.3025390546,-164827.971229259,-1085394.43981995,-136207.475885938,-199003.048178519,-1381323.98545158,-76892.4192811347,-950000293.42486
"APS",-51304.9095555076,-105319.29366367,-1139661.79118868,-7538907.80321062,-946136.230133783,-1381323.98545158,-9605006.56308607,-536592.062439072,-6642363851.53593
"TPT",-2864.28538325134,-5876.83966856448,-56190.6740307087,-424811.746948113,-53521.0560342583,-76892.4192811347,-536592.062439072,-32973.0071226275,-399649516.446935
"PDRB",-35323916.0085818,-72523099.642731,-677180673.355624,-5344124515.65722,-686467164.497207,-950000293.42486,-6642363851.53593,-399649516.446935,-7917364178961.45
