"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1132.16845111328,-954.026198995544,-7996.63717149061,-69816.9069809114,-8784.80270972644,-12552.2704507799,-87570.2981259246,-5552.11943286205,-69610976.9322197
"1",-954.026198995544,-1956.20603567309,-16398.999597186,-143155.004358012,-18013.4550313862,-25738.8935223815,-179560.778941337,-11378.9718563506,-142719248.113108
"Miskin",-7996.63717149061,-16398.999597186,-172411.655332108,-1187733.65156667,-148233.307745998,-217545.710929778,-1517040.13381481,-85678.4857593937,-1011011450.78981
"IPM",-69816.9069809114,-143155.004358012,-1187733.65156667,-10498031.8059352,-1322934.0994146,-1884245.80101574,-13149252.501212,-837386.065254878,-10815121876.3511
"RLS",-8784.80270972644,-18013.4550313862,-148233.307745998,-1322934.0994146,-167352.760342102,-237230.130308691,-1654934.23372484,-105877.423499769,-1406666862.81628
"HLS",-12552.2704507799,-25738.8935223815,-217545.710929778,-1884245.80101574,-237230.130308691,-339246.884586267,-2365268.87688954,-149209.103965458,-1876039527.36299
"APS",-87570.2981259246,-179560.778941337,-1517040.13381481,-13149252.501212,-1654934.23372484,-2365268.87688954,-16513471.0751221,-1042481.79818902,-13216191129.019
"TPT",-5552.11943286205,-11378.9718563506,-85678.4857593937,-837386.065254878,-105877.423499769,-149209.103965458,-1042481.79818902,-70910.9432375606,-883305008.700612
"PDRB",-69610976.9322197,-142719248.113108,-1011011450.78981,-10815121876.3511,-1406666862.81628,-1876039527.36299,-13216191129.019,-883305008.700612,-19437247358467.9
