"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1036.04929845139,-872.553578288727,-7473.40667075263,-63737.4990280582,-7929.4092115493,-11454.6408295808,-80103.8286434812,-4970.01290337596,-62583195.2320232
"1",-872.553578288727,-1788.99707674271,-15324.6091148404,-130678.644484435,-16258.4407899603,-23486.407386529,-164236.302012965,-10184.6376042802,-128293343.954053
"Miskin",-7473.40667075263,-15324.6091148404,-167006.190542101,-1105031.22911072,-136014.974497315,-202660.823873709,-1417631.71473437,-76824.2434854109,-916876292.042641
"IPM",-63737.4990280582,-130678.644484435,-1105031.22911072,-9567942.02187503,-1192251.61303987,-1716225.67229769,-12004318.2705866,-748973.027090326,-9723671554.69073
"RLS",-7929.4092115493,-16258.4407899603,-136014.974497315,-1192251.61303987,-149108.637542658,-213576.529509506,-1493431.2579836,-93629.7267718454,-1255677604.75491
"HLS",-11454.6408295808,-23486.407386529,-202660.823873709,-1716225.67229769,-213576.529509506,-308820.584530745,-2158198.94678561,-133088.591548569,-1684812308.66431
"APS",-80103.8286434812,-164236.302012965,-1417631.71473437,-12004318.2705866,-1493431.2579836,-2158198.94678561,-15104978.1962487,-932820.260248342,-11883019008.5857
"TPT",-4970.01290337596,-10184.6376042802,-76824.2434854109,-748973.027090326,-93629.7267718454,-133088.591548569,-932820.260248342,-62754.4737088045,-788379546.852934
"PDRB",-62583195.2320232,-128293343.954053,-916876292.042641,-9723671554.69073,-1255677604.75491,-1684812308.66431,-11883019008.5857,-788379546.852934,-17475751425666.2
