"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-964.114504071554,-812.241576275638,-7239.02071646092,-59169.3253155251,-7348.59061391891,-10671.0474598123,-74602.0907536941,-4543.01252495196,-56535627.902125
"1",-812.241576275638,-1665.43210896401,-14844.6726740624,-121319.407254426,-15068.5649031147,-21881.0277316662,-152964.545157357,-9310.03455066605,-115902739.970358
"Miskin",-7239.02071646092,-14844.6726740624,-169377.063865264,-1065375.95369851,-131073.008566758,-196326.416825489,-1372526.91209657,-72752.9314246448,-854075074.821512
"IPM",-59169.3253155251,-121319.407254426,-1065375.95369851,-8859517.24310691,-1101970.245647,-1594554.03274839,-11149693.2691359,-683303.686318937,-8761883995.06852
"RLS",-7348.59061391891,-15068.5649031147,-131073.008566758,-1101970.245647,-137566.140936268,-198098.490782003,-1384744.54957742,-85252.7635025671,-1128411948.83418
"HLS",-10671.0474598123,-21881.0277316662,-196326.416825489,-1594554.03274839,-198098.490782003,-287938.128697025,-2011636.54874173,-121735.373490639,-1522982549.15862
"APS",-74602.0907536941,-152964.545157357,-1372526.91209657,-11149693.2691359,-1384744.54957742,-2011636.54874173,-14075468.3157365,-853369.439839531,-10733935963.8978
"TPT",-4543.01252495196,-9310.03455066605,-72752.9314246448,-683303.686318937,-85252.7635025671,-121735.373490639,-853369.439839531,-56605.0447398595,-703797519.634148
"PDRB",-56535627.902125,-115902739.970358,-854075074.821512,-8761883995.06852,-1128411948.83418,-1522982549.15861,-10733935963.8978,-703797519.634148,-15364436680703.5
