"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-810.723011553382,-686.000448521011,-6635.17462381351,-49569.1430506028,-6187.72061247406,-9010.91751976887,-62737.6052499742,-3645.39813719219,-45332624.5578244
"1",-686.000448521011,-1407.69427763147,-13616.4462525014,-101714.738611739,-12698.6257604515,-18491.4868983927,-128739.824083071,-7476.22669199641,-93029762.5900123
"Miskin",-6635.17462381351,-13616.4462525014,-169460.158980485,-965664.872266487,-119887.995875455,-179037.609383166,-1243990.32438568,-63727.8464334813,-757309117.709782
"IPM",-49569.1430506028,-101714.738611739,-965664.872266487,-7369570.70456234,-920982.361499522,-1337050.57373651,-9312321.4699776,-545119.80525969,-6949357127.48565
"RLS",-6187.72061247406,-12698.6257604515,-119887.995875455,-920982.361499521,-115557.191923745,-167000.707288547,-1162950.02155417,-68330.4574650629,-893283665.463599
"HLS",-9010.91751976887,-18491.4868983927,-179037.609383166,-1337050.57373651,-167000.707288547,-243342.38363711,-1693447.64856016,-97909.5108824283,-1223082240.84173
"APS",-62737.6052499742,-128739.824083071,-1243990.32438568,-9312321.4699776,-1162950.02155417,-1693447.64856016,-11805067.3920441,-684496.882650249,-8582760318.81303
"TPT",-3645.39813719219,-7476.22669199641,-63727.8464334813,-545119.80525969,-68330.4574650629,-97909.5108824284,-684496.882650249,-43529.6977382423,-536560393.928424
"PDRB",-45332624.5578244,-93029762.5900123,-757309117.709782,-6949357127.48565,-893283665.463599,-1223082240.84173,-8582760318.81303,-536560393.928424,-11142539552341.8
