"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1107.51129673126,-932.904154049509,-7805.63634877792,-68308.3744855565,-8609.42325990936,-12281.4265813724,-85672.6589239439,-5464.54998860583,-68231305.2805164
"1",-932.904154049509,-1912.75390961164,-16006.198188338,-140051.640799805,-17652.4487149736,-25181.6348744726,-175656.875335958,-11198.8760394929,-139877802.180649
"Miskin",-7805.63634877792,-16006.198188338,-168174.311597,-1160135.99229803,-145087.5859281,-212540.559219397,-1481961.14472629,-84334.709557988,-987723378.222088
"IPM",-68308.3744855565,-140051.640799805,-1160135.99229803,-10275817.0433397,-1297093.94787891,-1844443.88183839,-12870176.3267503,-824407.884054713,-10606022941.4149
"RLS",-8609.42325990936,-17652.4487149736,-145087.5859281,-1297093.94787891,-164359.435673106,-232618.382712955,-1622556.04932013,-104410.138337679,-1381281010.36869
"HLS",-12281.4265813724,-25181.6348744726,-212540.559219397,-1844443.88183839,-232618.382712955,-332109.877328075,-2315259.60793708,-146947.605485336,-1838941700.32411
"APS",-85672.6589239439,-175656.875335958,-1481961.14472629,-12870176.3267503,-1622556.04932013,-2315259.60793708,-16161881.0395181,-1026349.41317901,-12955688144.0837
"TPT",-5464.54998860583,-11198.8760394929,-84334.709557988,-824407.884054713,-104410.138337679,-146947.605485336,-1026349.41317901,-70098.3802844608,-869692036.477823
"PDRB",-68231305.2805164,-139877802.180649,-987723378.222088,-10606022941.4149,-1381281010.36869,-1838941700.32411,-12955688144.0837,-869692036.477823,-19140898613228.5
