"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1131.05481271883,-952.890862142559,-7979.09935477246,-69751.8868322766,-8781.23165727568,-12539.5457262111,-87485.1689930918,-5561.80439907007,-69622238.7227262
"1",-952.890862142559,-1953.79882724369,-16362.4220861242,-143015.976291064,-18005.3719690008,-25711.7582481596,-179379.032049891,-11398.4516669943,-142734994.868704
"Miskin",-7979.09935477246,-16362.4220861242,-172043.192130873,-1185425.12508716,-148035.513406449,-217133.287536877,-1514257.14106455,-85767.8288487964,-1009154741.21169
"IPM",-69751.8868322766,-143015.976291064,-1185425.12508716,-10490515.8960623,-1322683.27346665,-1882743.50258213,-13139236.9381563,-838971.053472275,-10820144262.003
"RLS",-8781.23165727568,-18005.3719690008,-148035.513406449,-1322683.27346665,-167409.761923323,-237168.322040323,-1654544.36795392,-106134.056640852,-1408023386.53618
"HLS",-12539.5457262111,-25711.7582481596,-217133.287536877,-1882743.50258213,-237168.322040323,-338955.984709721,-2363323.11454292,-149494.277504244,-1876266931.22578
"APS",-87485.1689930918,-179379.032049891,-1514257.14106455,-13139236.9381563,-1654544.36795392,-2363323.11454292,-16500143.9791655,-1044412.99682448,-13218986881.8083
"TPT",-5561.80439907007,-11398.4516669943,-85767.8288487964,-838971.053472275,-106134.056640852,-149494.277504244,-1044412.99682448,-71185.7481132163,-885460404.577623
"PDRB",-69622238.7227262,-142734994.868704,-1009154741.21169,-10820144262.003,-1408023386.53618,-1876266931.22578,-13218986881.8083,-885460404.577623,-19499251706958.3
