"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1101.02856805264,-927.66477970506,-7769.79518794464,-67914.2263240459,-8565.66034368723,-12215.3531088321,-85182.4618969105,-5427.57552496385,-67743596.0753208
"1",-927.66477970506,-1902.09522931032,-15933.3182754945,-139249.577324755,-17563.4808663115,-25047.2327951508,-174659.48019212,-11123.5619300525,-138886433.694211
"Miskin",-7769.79518794464,-15933.3182754945,-167115.537066088,-1154924.56944455,-144577.963954581,-211622.641176758,-1474874.99688099,-84019.838112813,-983358151.683922
"IPM",-67914.2263240459,-139249.577324755,-1154924.56944455,-10215138.5262808,-1290298.66201482,-1834310.54299714,-12795231.5756846,-818709.775591207,-10525670121.8091
"RLS",-8565.66034368723,-17563.4808663115,-144577.963954581,-1290298.66201482,-163608.146933876,-231504.858951179,-1614259.12490857,-103756.712678172,-1371040917.59514
"HLS",-12215.3531088321,-25047.2327951508,-211622.641176758,-1834310.54299714,-231504.858951179,-330416.019587298,-2302676.08373869,-146008.112976434,-1826250598.5406
"APS",-85182.4618969105,-174659.48019212,-1474874.99688099,-12795231.5756846,-1614259.12490857,-2302676.08373869,-16068731.7674863,-1019462.26117409,-12862779403.5684
"TPT",-5427.57552496385,-11123.5619300525,-84019.838112813,-818709.775591207,-103756.712678172,-146008.112976434,-1019462.26117409,-69525.7696998774,-861860287.407078
"PDRB",-67743596.0753208,-138886433.694211,-983358151.683922,-10525670121.8091,-1371040917.59514,-1826250598.5406,-12862779403.5684,-861860287.407078,-18913168264434.9
