"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-625.092735531467,-529.648374496019,-4772.28711305728,-38438.4483519993,-4797.78673159851,-6965.54378302449,-48465.244347575,-2837.83175843273,-36002471.3415164
"1",-529.648374496019,-1087.15932807725,-9795.97071811877,-78896.5871233944,-9848.81589222603,-14298.0107309611,-99479.7012469401,-5821.32439335078,-73914482.5308486
"Miskin",-4772.28711305728,-9795.97071811877,-108653.990947076,-702405.574506857,-87107.4765344708,-129510.978906645,-899608.542770202,-47052.6328825518,-571083958.732258
"IPM",-38438.4483519993,-78896.5871233944,-702405.574506857,-5738034.25103714,-717060.933568158,-1038012.90214079,-7225119.24928308,-425611.966433757,-5534784153.99015
"RLS",-4797.78673159851,-9848.81589222603,-87107.4765344708,-717060.933568158,-89946.352259987,-129625.255007385,-902119.713388383,-53325.7083906384,-711457217.816676
"HLS",-6965.54378302449,-14298.0107309611,-129510.978906645,-1038012.90214079,-129625.255007385,-188309.183495219,-1309537.44101723,-76266.0865464189,-973485310.18261
"APS",-48465.244347575,-99479.7012469401,-899608.542770202,-7225119.24928308,-902119.713388383,-1309537.44101723,-9123154.73088219,-532834.968626065,-6830508108.25323
"TPT",-2837.83175843273,-5821.32439335078,-47052.6328825518,-425611.966433758,-53325.7083906384,-76266.0865464189,-532834.968626065,-33983.6220504754,-426534154.409448
"PDRB",-36002471.3415164,-73914482.5308486,-571083958.732258,-5534784153.99015,-711457217.816676,-973485310.18261,-6830508108.25323,-426534154.409448,-8934503561859.1
