"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-881.006990244502,-742.515911390871,-6249.6877207355,-54368.3289534369,-6897.29550663255,-9799.5778895198,-68222.3103720157,-4369.35446134317,-53926787.1343088
"1",-742.515911390871,-1522.53247303172,-12816.4169410342,-111480.48122544,-14143.0759593663,-20094.5433899672,-139890.611943483,-8955.39671927494,-110569234.132085
"Miskin",-6249.6877207355,-12816.4169410342,-133814.370953593,-930218.181006788,-117358.606534973,-170740.083947364,-1187296.59299085,-68767.2606667197,-789322843.419929
"IPM",-54368.3289534369,-111480.48122544,-930218.181006788,-8178212.84836922,-1038933.42634722,-1471804.54626912,-10249798.4604706,-658915.859359191,-8369412124.97334
"RLS",-6897.29550663255,-14143.0759593663,-117358.606534973,-1038933.42634722,-132488.241547114,-186866.784021052,-1300836.73156546,-83976.5180142516,-1093309815.82775
"HLS",-9799.5778895198,-20094.5433899672,-170740.083947364,-1471804.54626912,-186866.784021051,-265709.65594852,-1848656.04433684,-117881.769244932,-1455623778.25529
"APS",-68222.3103720157,-139890.611943483,-1187296.59299085,-10249798.4604706,-1300836.73156546,-1848656.04433684,-12878298.6328739,-821476.166279358,-10240910232.9956
"TPT",-4369.35446134317,-8955.39671927494,-68767.2606667197,-658915.859359191,-83976.5180142516,-117881.769244932,-821476.166279358,-56026.8453465438,-685735698.294727
"PDRB",-53926787.1343088,-110569234.132085,-789322843.419929,-8369412124.97334,-1093309815.82775,-1455623778.25529,-10240910232.9956,-685735698.294727,-14834290307761.6
