"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-968.579789564737,-817.157030718443,-7019.58789748405,-59621.2596881605,-7429.41955944808,-10731.0029877518,-74924.6514478579,-4594.75205590256,-58213678.7142747
"1",-817.157030718443,-1675.96594233512,-14398.4151802144,-122278.724249967,-15238.3396443524,-22009.798088565,-153667.627893469,-9418.40669000481,-119387332.431706
"Miskin",-7019.58789748405,-14398.4151802144,-155122.966570948,-1038050.99150573,-128104.739324124,-190384.316579823,-1328850.02355785,-71794.7060484866,-865589859.509087
"IPM",-59621.2596881605,-122278.724249967,-1038050.99150573,-8941543.88236172,-1115908.52066339,-1606435.47840831,-11219459.2228888,-691825.762766798,-9022388626.07928
"RLS",-7429.41955944808,-15238.3396443524,-128104.739324124,-1115908.52066339,-139779.063489608,-200252.761332897,-1398206.15807356,-86603.7127487061,-1164474751.82015
"HLS",-10731.0029877518,-22009.798088565,-190384.316579823,-1606435.47840831,-200252.761332897,-289485.428737305,-2019972.69160263,-123157.058350869,-1568937605.78949
"APS",-74924.6514478579,-153667.627893469,-1328850.02355785,-11219459.2228888,-1398206.15807356,-2019972.69160263,-14117119.7827688,-862216.292668128,-11050334616.5405
"TPT",-4594.75205590256,-9418.40669000481,-71794.7060484866,-691825.762766798,-86603.7127487061,-123157.058350869,-862216.292668128,-57334.4381361356,-722692444.672101
"PDRB",-58213678.7142747,-119387332.431706,-865589859.509087,-9022388626.07928,-1164474751.82015,-1568937605.78949,-11050334616.5405,-722692444.672101,-15832159240083
