"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-591.97198601163,-502.055996253647,-5806.93785031438,-35682.0182861219,-4477.5499257795,-6550.59785662887,-45439.5915604971,-2503.64133713843,-30746110.0775303
"1",-502.055996253647,-1030.60969570233,-11920.0548302384,-73245.9758064677,-9192.80094253125,-13447.7277292223,-93280.2996323013,-5137.15968789489,-63124133.2351866
"Miskin",-5806.93785031438,-11920.0548302384,-183061.095887777,-822201.231002569,-102827.238321972,-153639.089539363,-1060714.40934273,-51538.4258730994,-624897692.175341
"IPM",-35682.0182861219,-73245.9758064677,-822201.231002569,-5226236.21483301,-656427.698734087,-957559.182519103,-6646171.68990833,-369941.416031054,-4625835323.36108
"RLS",-4477.5499257795,-9192.80094253125,-102827.238321972,-656427.698734087,-82841.6348590588,-120295.459826429,-835075.334552697,-46675.1965094142,-594025924.818817
"HLS",-6550.59785662887,-13447.7277292223,-153639.089539363,-957559.182519103,-120295.459826429,-176006.777502632,-1220918.18628624,-67136.6126192464,-824667595.199424
"APS",-45439.5915604971,-93280.2996323013,-1060714.40934273,-6646171.68990833,-835075.334552698,-1220918.18628624,-8484135.80713055,-468298.144149836,-5759416719.33074
"TPT",-2503.64133713843,-5137.15968789489,-51538.4258730994,-369941.416031054,-46675.1965094142,-67136.6126192464,-468298.144149836,-28472.0995971037,-342594458.27947
"PDRB",-30746110.0775303,-63124133.2351866,-624897692.175341,-4625835323.36108,-594025924.818817,-824667595.199424,-5759416719.33074,-342594458.27947,-6687111730314.69
