"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-843.812220414258,-712.815114963396,-7324.5705544297,-51297.4058420645,-6397.29101793961,-9341.59103494389,-65083.6810730692,-3769.91674387949,-46218053.5040551
"1",-712.815114963396,-1462.23876447686,-15026.858680862,-105226.94324047,-13124.4375395413,-19163.8978080528,-133510.767342454,-7729.46133465615,-94801833.8874163
"Miskin",-7324.5705544297,-15026.858680862,-204897.184524553,-1055165.38579761,-130876.803099324,-196285.377823596,-1363893.89611342,-68699.8783157635,-807680266.302623
"IPM",-51297.4058420645,-105226.94324047,-1055165.38579761,-7597625.78358955,-948597.544096937,-1380588.74321213,-9622177.15858737,-562280.900327768,-7068972837.21078
"RLS",-6397.29101793961,-13124.4375395413,-130876.803099324,-948597.544096937,-118926.553540307,-172286.846740459,-1200591.07416487,-70445.5515035072,-908506322.772567
"HLS",-9341.59103494389,-19163.8978080528,-196285.377823596,-1380588.74321213,-172286.846740459,-251727.512626694,-1753138.93132786,-101098.05594179,-1243059121.89696
"APS",-65083.6810730692,-133510.767342454,-1363893.89611342,-9622177.15858737,-1200591.07416487,-1753138.93132786,-12229474.7886759,-707237.654090014,-8725960371.11325
"TPT",-3769.91674387949,-7729.46133465615,-68699.8783157635,-562280.900327768,-70445.5515035072,-101098.05594179,-707237.654090014,-45033.7878916644,-548350414.318489
"PDRB",-46218053.5040551,-94801833.8874163,-807680266.302623,-7068972837.21078,-908506322.772567,-1243059121.89696,-8725960371.11325,-548350414.318489,-11388523762848.5
