"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-583.767894851094,-494.824006769083,-5761.56669113139,-35153.695274639,-4408.38439003201,-6453.14494555535,-44777.0766465566,-2470.88324159131,-30271684.229635
"1",-494.824006769083,-1015.65795527921,-11825.8936879479,-72153.9275268919,-9049.83275532149,-13246.2881248571,-91910.5688193528,-5069.43602498914,-62140822.5245064
"Miskin",-5761.56669113139,-11825.8936879479,-183268.753451539,-814829.808651086,-101823.350450051,-152296.331647627,-1051708.61504417,-51023.1959180671,-617295038.122332
"IPM",-35153.695274639,-72153.9275268919,-814829.808651086,-5146724.51723988,-646035.766394098,-942885.997210452,-6546317.1125102,-365024.252921315,-4554937502.94219
"RLS",-4408.38439003201,-9049.83275532149,-101823.350450051,-646035.766394098,-81478.7342511584,-118375.272057076,-821982.242495624,-46026.8906032284,-584847827.640449
"HLS",-6453.14494555535,-13246.2881248571,-152296.331647627,-942885.997210452,-118375.272057076,-173300.359363637,-1202517.6148006,-66227.3147906013,-811334777.880003
"APS",-44777.0766465566,-91910.5688193528,-1051708.61504417,-6546317.1125102,-821982.242495624,-1202517.6148006,-8358695.31066923,-462068.016243157,-5667876631.14401
"TPT",-2470.88324159131,-5069.43602498914,-51023.1959180671,-365024.252921315,-46026.8906032284,-66227.3147906013,-462068.016243157,-28158.9922049033,-338346906.315472
"PDRB",-30271684.229635,-62140822.5245064,-617295038.122332,-4554937502.94219,-584847827.640449,-811334777.880003,-5667876631.14401,-338346906.315472,-6628314958062.64
