"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1056.75956521673,-890.328627545943,-7459.30232289411,-65193.5334487743,-8235.80188434518,-11730.7369444287,-81774.3326502614,-5224.71821214289,-65000414.4902621
"1",-890.328627545943,-1825.51914483324,-15296.3907834196,-133669.609192708,-16886.8697841486,-24053.2261793493,-167669.513480591,-10707.7918602998,-133261246.741516
"Miskin",-7459.30232289411,-15296.3907834196,-160235.705692002,-1109288.44894404,-139158.469756264,-203337.46247291,-1416465.64222301,-81132.2870573291,-944087557.025655
"IPM",-65193.5334487743,-133669.609192708,-1109288.44894404,-9807373.10838985,-1240763.90505757,-1761845.56762511,-12285498.3796112,-788138.454219267,-10098753587.2066
"RLS",-8235.80188434518,-16886.8697841486,-139158.469756264,-1240763.90505757,-157577.658972681,-222727.549645855,-1552497.63271522,-100039.040417279,-1316661903.05629
"HLS",-11730.7369444287,-24053.2261793493,-203337.46247291,-1761845.56762511,-222727.549645855,-317503.93509254,-2211908.18683577,-140654.328957955,-1752747075.68017
"APS",-81774.3326502614,-167669.513480591,-1416465.64222301,-12285498.3796112,-1552497.63271522,-2211908.18683577,-15429516.9190643,-981620.092706387,-12342662638.5727
"TPT",-5224.71821214289,-10707.7918602998,-81132.2870573291,-788138.454219267,-100039.040417279,-140654.328957955,-981620.092706387,-67025.113095233,-827950159.654367
"PDRB",-65000414.4902621,-133261246.741516,-944087557.025655,-10098753587.2066,-1316661903.05629,-1752747075.68017,-12342662638.5727,-827950159.654367,-18121891508042.9
