"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-678.914633156519,-575.68733138805,-6110.03347169203,-41242.7050842825,-5167.97214854376,-7541.69151117187,-52377.152144093,-2945.65007075725,-36440845.8533857
"1",-575.68733138805,-1181.75461372927,-12542.5650213157,-84659.845174698,-10610.0307876106,-15482.1521129862,-107520.200144981,-6043.64061478589,-74817264.468574
"Miskin",-6110.03347169203,-12542.5650213157,-174669.435929214,-876721.041359446,-109460.644598825,-163312.530950441,-1130112.67598614,-56214.0579943118,-675887083.162901
"IPM",-41242.7050842825,-84659.845174698,-876721.041359446,-6084904.29020774,-763202.475832168,-1110528.61743564,-7716301.54880972,-437766.061172475,-5529434364.90876
"RLS",-5167.97214854376,-10610.0307876106,-109460.644598825,-763202.475832168,-96148.428417144,-139276.685490634,-967765.111037389,-55109.7018442651,-710379175.664232
"HLS",-7541.69151117187,-15482.1521129862,-163312.530950441,-1110528.61743564,-139276.685490634,-203310.177802479,-1411671.5756739,-79119.6475590955,-981410552.863198
"APS",-52377.152144093,-107520.200144981,-1130112.67598614,-7716301.54880972,-967765.111037389,-1411671.5756739,-9819215.67148535,-552253.778459258,-6866093030.45952
"TPT",-2945.65007075725,-6043.64061478589,-56214.0579943118,-437766.061172475,-55109.7018442651,-79119.6475590955,-552253.778459258,-34130.8057382823,-415582351.266394
"PDRB",-36440845.8533857,-74817264.468574,-675887083.162901,-5529434364.90876,-710379175.664232,-981410552.863198,-6866093030.45952,-415582351.266394,-8300418377707.69
