"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-729.147153443181,-617.824883073394,-6295.62924246095,-44429.2307224822,-5558.97374785824,-8105.02198939298,-56344.4052601176,-3210.68611208094,-39813385.8904358
"1",-617.824883073394,-1268.09764793473,-12922.3115721248,-91189.5188139667,-11411.2168857385,-16636.4955346156,-115649.184450112,-6586.42133527019,-81728549.6933787
"Miskin",-6295.62924246095,-12922.3115721248,-171434.063277011,-909025.840367318,-113259.005862455,-169017.311185484,-1171481.00199312,-58990.8816939473,-705491434.381343
"IPM",-44429.2307224822,-91189.5188139667,-909025.840367318,-6577315.74938834,-823782.158618365,-1197527.28883907,-8328462.23002697,-478463.250717352,-6068037505.35528
"RLS",-5558.97374785824,-11411.2168857385,-113259.005862455,-823782.158618365,-103612.935852987,-149944.662965911,-1042767.58643674,-60126.3429350723,-779712811.543978
"HLS",-8105.02198939298,-16636.4955346156,-169017.311185484,-1197527.28883907,-149944.662965911,-218714.375057798,-1519943.41547509,-86254.6697283187,-1073411950.25575
"APS",-56344.4052601176,-115649.184450112,-1171481.00199312,-8328462.23002697,-1042767.58643674,-1519943.41547509,-10581281.549389,-602426.631948972,-7518912616.99364
"TPT",-3210.68611208094,-6586.42133527019,-58990.8816939473,-478463.250717352,-60126.3429350723,-86254.6697283187,-602426.631948972,-37659.486286635,-461021965.73175
"PDRB",-39813385.8904358,-81728549.6933787,-705491434.381343,-6068037505.35528,-779712811.543978,-1073411950.25575,-7518912616.99364,-461021965.73175,-9356086804110.82
