"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-950.295695758152,-801.579349263353,-6954.36040655575,-58453.3941040347,-7269.22399041372,-10527.5109180181,-73526.900189076,-4484.07741855543,-56618874.0476907
"1",-801.579349263353,-1643.95939752079,-14264.0146452107,-119879.439150006,-14909.3200255492,-21591.7124713045,-150795.464528681,-9191.1742369878,-116111535.509253
"Miskin",-6954.36040655575,-14264.0146452107,-155535.368718712,-1027292.94320423,-126512.036383737,-188633.601510982,-1317120.49611114,-70573.7387034049,-846976899.290388
"IPM",-58453.3941040347,-119879.439150006,-1027292.94320423,-8761766.67699874,-1091262.82679944,-1575071.73971646,-11003589.963281,-674916.558938299,-8772584741.15357
"RLS",-7269.22399041372,-14909.3200255492,-126512.036383737,-1091262.82679944,-136409.003178873,-195940.449112852,-1368478.95142965,-84308.9273295142,-1130413329.63371
"HLS",-10527.5109180181,-21591.7124713045,-188633.601510982,-1575071.73971646,-195940.449112852,-284014.279623728,-1982373.47082906,-120170.446756868,-1526056771.90268
"APS",-73526.900189076,-150795.464528681,-1317120.49611114,-11003589.963281,-1368478.95142965,-1982373.47082906,-13858657.7901235,-841706.326712625,-10749007246.0327
"TPT",-4484.07741855543,-9191.1742369878,-70573.7387034049,-674916.558938299,-84308.9273295142,-120170.446756868,-841706.326712625,-55763.3138344412,-701245535.291439
"PDRB",-56618874.0476907,-116111535.509253,-846976899.290388,-8772584741.15358,-1130413329.63371,-1526056771.90268,-10749007246.0327,-701245535.291439,-15326168281120.1
