"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-848.008042582208,-717.276420487256,-7292.96951388125,-51633.1007319075,-6447.34187010575,-9406.62903519638,-65480.8924872522,-3772.2666462791,-46512429.796957
"1",-717.276420487256,-1471.74479905001,-14965.1687109439,-105940.883510306,-13230.3796922478,-19301.9342018296,-134358.033146907,-7736.00506277506,-95437368.6414683
"Miskin",-7292.96951388125,-14965.1687109439,-199850.745807393,-1052842.76560174,-130814.353116003,-195742.155176541,-1358935.88463575,-68592.3692509823,-812197547.426557
"IPM",-51633.1007319075,-105940.883510306,-1052842.76560174,-7649911.23994227,-956281.861570345,-1390804.95690872,-9685274.84630205,-562653.114083344,-7107291468.21076
"RLS",-6447.34187010575,-13230.3796922478,-130814.353116003,-956281.861570345,-120038.083287756,-173785.319494763,-1210058.57979958,-70570.099166016,-913362401.170266
"HLS",-9406.62903519638,-19301.9342018296,-195742.155176541,-1390804.95690872,-173785.319494763,-253686.484271848,-1765277.50321298,-101247.542902746,-1252593255.47175
"APS",-65480.8924872522,-134358.033146907,-1358935.88463576,-9685274.84630205,-1210058.57979958,-1765277.50321298,-12304359.341331,-707830.865968219,-8785866735.92978
"TPT",-3772.2666462791,-7736.00506277506,-68592.3692509823,-562653.114083344,-70570.099166016,-101247.542902746,-707830.865968219,-44769.0214117114,-546970289.011186
"PDRB",-46512429.796957,-95437368.6414683,-812197547.426557,-7107291468.21076,-913362401.170266,-1252593255.47175,-8785866735.92978,-546970289.011186,-11267088284600.2
