"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-963.098788780415,-811.709131723874,-6821.58525777677,-59428.3108073427,-7527.00738065281,-10705.5463403986,-74559.8539780326,-4765.44664413702,-59037358.0024503
"1",-811.709131723874,-1664.42245976746,-13989.3557212856,-121856.421445747,-15434.4439048581,-21952.4283743648,-152886.56945661,-9767.19069808705,-121047590.352867
"Miskin",-6821.58525777677,-13989.3557212856,-146116.018653967,-1014956.28019197,-127775.383979884,-186192.658909969,-1295453.17987268,-74665.3610982291,-862568941.092483
"IPM",-59428.3108073427,-121856.421445747,-1014956.28019197,-8938743.03154963,-1133743.30507243,-1607721.69038038,-11200846.6313124,-718671.290890041,-9164428073.29279
"RLS",-7527.00738065281,-15434.4439048581,-127775.383979885,-1133743.30507243,-144350.484645119,-203785.324773265,-1419197.88159199,-91449.5280140475,-1196130049.36776
"HLS",-10705.5463403986,-21952.4283743648,-186192.658909969,-1607721.69038038,-203785.324773265,-290071.483830418,-2018978.84191032,-128463.176904878,-1593049558.73498
"APS",-74559.8539780326,-152886.56945661,-1295453.17987268,-11200846.6313124,-1419197.88159199,-2018978.84191032,-14070874.5505577,-895668.52219519,-11210664616.6568
"TPT",-4765.44664413702,-9767.19069808705,-74665.3610982291,-718671.290890041,-91449.5280140475,-128463.176904878,-895668.52219519,-61052.3909545525,-750269015.511776
"PDRB",-59037358.0024503,-121047590.352867,-862568941.092483,-9164428073.29279,-1196130049.36776,-1593049558.73498,-11210664616.6568,-750269015.511776,-16289951711030.3
