"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1054.09073997357,-888.264409454068,-7448.8098133768,-65030.5319125681,-8216.79306327698,-11704.2596940043,-81573.104298435,-5203.77889258209,-64763200.7620972
"1",-888.264409454068,-1821.35820114056,-15275.4074381345,-133340.563699363,-16848.5577256455,-23999.8618650954,-167263.442832127,-10665.2495236142,-132781969.657382
"Miskin",-7448.8098133768,-15275.4074381345,-159854.644090248,-1107683.39006842,-139001.182502881,-203058.311015759,-1414131.92452476,-80961.7344397688,-942741782.70463
"IPM",-65030.5319125681,-133340.563699363,-1107683.39006842,-9781332.30175072,-1237693.62601031,-1757615.56718006,-12253612.3156792,-784872.739212052,-10058360897.2032
"RLS",-8216.79306327698,-16848.5577256455,-139001.182502881,-1237693.62601031,-157216.141190439,-222237.040863648,-1548785.936089,-99642.320741718,-1311281731.43515
"HLS",-11704.2596940043,-23999.8618650954,-203058.311015759,-1757615.56718006,-222237.040863648,-316816.686774317,-2206685.03020942,-140110.844477663,-1746613167.87433
"APS",-81573.104298435,-167263.442832127,-1414131.92452476,-12253612.3156792,-1548785.936089,-2206685.03020942,-15390201.7371981,-977674.334955524,-12297216547.7046
"TPT",-5203.77889258209,-10665.2495236142,-80961.7344397688,-784872.739212052,-99642.320741718,-140110.844477663,-977674.334955524,-66653.521782276,-823394230.523823
"PDRB",-64763200.7620972,-132781969.657382,-942741782.70463,-10058360897.2032,-1311281731.43515,-1746613167.87433,-12297216547.7046,-823394230.523823,-17987418516388.3
