"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1131.73739934545,-953.020014526395,-7992.18726986847,-69744.940331502,-8739.24635740774,-12523.7297966488,-87492.9373238719,-5537.84448284964,-69641155.7133078
"1",-953.020014526395,-1953.90869306182,-16388.1150693789,-142990.508938999,-17917.998893308,-25677.4142698881,-179380.523070002,-11348.3095821494,-142756840.699758
"Miskin",-7992.18726986847,-16388.1150693789,-174123.873779523,-1185688.47555821,-147156.136217083,-217079.649008647,-1516638.05292686,-84689.2157461004,-1005398459.19293
"IPM",-69744.940331502,-142990.508938999,-1185688.47555821,-10487438.0072036,-1316210.75324214,-1879815.47283088,-13135991.6332544,-835424.906411109,-10832000496.2248
"RLS",-8739.24635740774,-17917.998893308,-147156.136217083,-1316210.75324214,-165816.963965941,-235659.822944208,-1646210.58468175,-105202.989039217,-1406231606.97804
"HLS",-12523.7297966488,-25677.4142698881,-217079.649008647,-1879815.47283088,-235659.822944208,-338009.452462897,-2359878.67777653,-148553.444601177,-1875140952.36954
"APS",-87492.9373238719,-179380.523070002,-1516638.05292686,-13135991.6332544,-1646210.58468175,-2359878.67777653,-16498628.8041377,-1039454.19111402,-13222477546.1849
"TPT",-5537.84448284964,-11348.3095821494,-84689.2157461004,-835424.906411109,-105202.989039217,-148553.444601177,-1039454.19111402,-70821.5857495331,-886535057.955574
"PDRB",-69641155.7133078,-142756840.699758,-1005398459.19293,-10832000496.2248,-1406231606.97804,-1875140952.36954,-13222477546.1849,-886535057.955574,-19694505911373.7
