"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1136.88418690202,-957.502902480506,-8012.56629169663,-70095.0147135292,-8809.43032186288,-12593.3685098799,-87914.7899243521,-5588.48244454866,-70060328.4933366
"1",-957.502902480506,-1963.14562858456,-16430.2448727962,-143711.574261211,-18062.2235019785,-25820.7303238032,-180249.819616555,-11452.4785473918,-143621745.15673
"Miskin",-8012.56629169663,-16430.2448727962,-173424.981280406,-1189899.77079489,-148250.92706945,-217891.923365698,-1520814.28676136,-85774.0607495846,-1012088367.24717
"IPM",-70095.0147135292,-143711.574261211,-1189899.77079489,-10542889.8841277,-1327077.55579843,-1890883.88922987,-13203903.2541683,-843119.443084391,-10894395715.5893
"RLS",-8809.43032186288,-18062.2235019785,-148250.92706945,-1327077.55579843,-167685.02150505,-237777.385029494,-1659786.4049435,-106484.010795293,-1416701728.4112
"HLS",-12593.3685098799,-25820.7303238032,-217891.923365698,-1890883.88922987,-237777.385029494,-340201.577339947,-2373448.05181414,-150090.893231788,-1887274186.30801
"APS",-87914.7899243521,-180249.819616555,-1520814.28676136,-13203903.2541683,-1659786.4049435,-2373448.05181414,-16580919.3086403,-1049253.91226242,-13302373349.1684
"TPT",-5588.48244454866,-11452.4785473918,-85774.0607495846,-843119.443084391,-106484.010795293,-150090.893231788,-1049253.91226242,-71601.4647272383,-892666340.913233
"PDRB",-70060328.4933366,-143621745.15673,-1012088367.24717,-10894395715.5893,-1416701728.4112,-1887274186.30801,-13302373349.1684,-892666340.913233,-19748619949169
