"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-734.541551151633,-622.07271573091,-6803.86721499504,-44472.6566964253,-5566.41423503972,-8136.39095847079,-56539.5216811841,-3181.44680134879,-39070844.9120897
"1",-622.07271573091,-1276.66258420987,-13963.8632271201,-91267.9986760241,-11425.2590015605,-16698.9867574417,-116036.609737553,-6526.00782082665,-80188864.1847028
"Miskin",-6803.86721499504,-13963.8632271201,-202744.093180406,-971333.614530871,-121098.920794533,-181159.658466505,-1253987.61227098,-61912.8469877458,-740717263.614903
"IPM",-44472.6566964253,-91267.9986760241,-971333.614530871,-6548379.95964495,-820447.267256684,-1195588.06619886,-8312157.75290356,-472187.243142998,-5922837448.53585
"RLS",-5566.41423503972,-11425.2590015605,-121098.920794533,-820447.267256684,-103254.020332445,-149781.752626721,-1041351.16616395,-59390.9905420928,-760753456.004569
"HLS",-8136.39095847079,-16698.9867574417,-181159.658466505,-1195588.06619886,-149781.752626721,-219002.297760634,-1521571.88377565,-85348.9055822343,-1049917066.17027
"APS",-56539.5216811841,-116036.609737553,-1253987.61227098,-8312157.75290356,-1041351.16616395,-1521571.88377565,-10589657.709866,-596031.833758819,-7348380864.88056
"TPT",-3181.44680134879,-6526.00782082665,-61912.8469877458,-472187.243142998,-59390.9905420928,-85348.9055822343,-596031.833758819,-36946.1186273136,-447276135.304571
"PDRB",-39070844.9120897,-80188864.1847028,-740717263.614903,-5922837448.53585,-760753456.004569,-1049917066.17027,-7348380864.88056,-447276135.304571,-8969231816942.27
