"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-959.596732993474,-808.779705097317,-7332.18801598622,-58834.9218654506,-7310.98175647353,-10626.0903678425,-74252.9953639254,-4489.43616319471,-55722812.6193265
"1",-808.779705097317,-1658.457188834,-15036.8517549892,-120642.600817344,-14992.6376124637,-21790.4754803714,-152260.189241652,-9200.90092896242,-114246299.862051
"Miskin",-7332.18801598622,-15036.8517549892,-175233.309143076,-1076526.70670684,-132608.911724954,-198694.456681798,-1388006.7303977,-73050.7911761735,-855610185.826758
"IPM",-58834.9218654506,-120642.600817344,-1076526.70670684,-8798443.66526747,-1094895.8614435,-1585811.66313919,-11083541.0648203,-674595.175980359,-8622897320.14386
"RLS",-7310.98175647353,-14992.6376124637,-132608.911724954,-1094895.8614435,-136754.791142674,-197125.299079869,-1377333.32114279,-84205.1114851766,-1110095941.6538
"HLS",-10626.0903678425,-21790.4754803714,-198694.456681798,-1585811.66313919,-197125.299079869,-286772.808937711,-2002603.33813896,-120340.147367516,-1501296476.38447
"APS",-74252.9953639254,-152260.189241652,-1388006.7303977,-11083541.0648203,-1377333.32114279,-2002603.33813896,-14006263.3780483,-843348.116188454,-10575456087.2567
"TPT",-4489.43616319471,-9200.90092896242,-73050.7911761735,-674595.175980359,-84205.1114851766,-120340.147367516,-843348.116188454,-55614.1921995256,-689368267.267722
"PDRB",-55722812.6193265,-114246299.862051,-855610185.826758,-8622897320.14386,-1110095941.6538,-1501296476.38447,-10575456087.2567,-689368267.267722,-14945803046538.3
