"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-876.193488792326,-740.616929020362,-7026.12732987538,-53621.7095141711,-6684.47574137988,-9730.40300908047,-67813.3721296436,-3982.85137000599,-49509035.4273808
"1",-740.616929020362,-1519.48031282074,-14416.2487586645,-110009.734930835,-13715.3502404179,-19964.1592512514,-139128.67132013,-8166.74920916141,-101575005.890455
"Miskin",-7026.12732987538,-14416.2487586645,-175682.924140619,-1025368.43731627,-127021.710708631,-189875.180065529,-1321205.06030958,-68190.7311641853,-806740478.721964
"IPM",-53621.7095141711,-110009.734930835,-1025368.43731627,-7985853.59244098,-996719.703621985,-1446265.24051312,-10082454.4584493,-596439.566542347,-7610377411.68671
"RLS",-6684.47574137988,-13715.3502404179,-127021.710708631,-996719.703621985,-124887.442833424,-180383.146412996,-1257261.71195208,-74663.6106248573,-978537882.882896
"HLS",-9730.40300908047,-19964.1592512514,-189875.180065529,-1446265.24051312,-180383.146412996,-262760.107305493,-1830267.4388829,-106923.580724559,-1335442645.76581
"APS",-67813.3721296436,-139128.67132013,-1321205.06030958,-10082454.4584493,-1257261.71195208,-1830267.4388829,-12770116.9968041,-748005.728533131,-9381133997.75646
"TPT",-3982.85137000599,-8166.74920916141,-68190.7311641853,-596439.566542347,-74663.6106248573,-106923.580724559,-748005.728533131,-48040.994644095,-593279421.176744
"PDRB",-49509035.4273808,-101575005.890455,-806740478.721964,-7610377411.68671,-978537882.882897,-1335442645.76581,-9381133997.75646,-593279421.176744,-12473566918482.6
