"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1088.26238466449,-916.291549921458,-7742.33404652029,-67010.1464583846,-8362.96460008285,-12031.0431084126,-84118.8628251656,-5281.67225515256,-66551601.7910765
"1",-916.291549921458,-1878.57426358496,-15875.4615072093,-137381.290982632,-17146.3482147624,-24666.909634367,-172459.603325681,-10822.9766915963,-136419400.028214
"Miskin",-7742.33404652029,-15875.4615072093,-170746.285187702,-1146762.64693379,-141625.829169795,-210039.422741298,-1468998.10998046,-80815.3403764858,-964033571.859977
"IPM",-67010.1464583846,-137381.290982632,-1146762.64693379,-10069881.4643678,-1258794.23150002,-1804587.01642391,-12620143.8520226,-796524.629401302,-10350789043.804
"RLS",-8362.96460008285,-17146.3482147624,-141625.829169795,-1258794.23150002,-157944.042299466,-225299.297618037,-1575101.45626441,-99903.7471673464,-1340334853.70563
"HLS",-12031.0431084126,-24666.909634367,-210039.422741298,-1804587.01642391,-225299.297618037,-324418.124759296,-2266797.4169263,-141499.482407224,-1791289267.81559
"APS",-84118.8628251656,-172459.603325681,-1468998.10998046,-12620143.8520226,-1575101.45626441,-2266797.4169263,-15861221.4023483,-991190.32788821,-12636024743.8862
"TPT",-5281.67225515256,-10822.9766915963,-80815.3403764858,-796524.629401303,-99903.7471673464,-141499.482407224,-991190.32788821,-67248.7585349924,-844649754.57492
"PDRB",-66551601.7910765,-136419400.028214,-964033571.859977,-10350789043.804,-1340334853.70563,-1791289267.81559,-12636024743.8862,-844649754.57492,-18807528888074.2
