"","","1","Miskin","IPM","RLS","HLS","APS","TPT","PDRB"
"",-1075.7833672566,-906.778188855985,-7608.4846134777,-66361.5927901,-8373.91061487763,-11942.1743570585,-83241.3337361599,-5288.05106444862,-66043137.3768998
"1",-906.778188855985,-1859.41741043402,-15603.6351782653,-136076.807128622,-17171.6811175483,-24489.0066969038,-170692.905560169,-10838.3864232153,-135414797.236052
"Miskin",-7608.4846134777,-15603.6351782653,-163303.421096421,-1130891.57605791,-141678.67899191,-207252.996865733,-1443572.09599401,-82185.3470796043,-962998670.050131
"IPM",-66361.5927901,-136076.807128622,-1130891.57605791,-9978590.4207437,-1261001.91948346,-1792790.86517841,-12500420.1201075,-797447.604546325,-10254171969.3192
"RLS",-8373.91061487763,-17171.6811175483,-141678.67899191,-1261001.91948346,-159967.208412036,-226378.487655061,-1577876.22185324,-101107.805093335,-1335516369.39406
"HLS",-11942.1743570585,-24489.0066969038,-207252.996865733,-1792790.86517841,-226378.487655061,-323098.003347695,-2250729.89251292,-142301.626209156,-1780975604.75149
"APS",-83241.3337361599,-170692.905560169,-1443572.09599401,-12500420.1201075,-1577876.22185324,-2250729.89251292,-15699940.3041871,-993243.211717896,-12539112478.4407
"TPT",-5288.05106444862,-10838.3864232153,-82185.3470796043,-797447.604546325,-101107.805093335,-142301.626209156,-993243.211717896,-67532.4941902451,-837113450.386831
"PDRB",-66043137.3768998,-135414797.236052,-962998670.050131,-10254171969.3192,-1335516369.39406,-1780975604.75149,-12539112478.4407,-837113450.386831,-18297225542942.9
